Mensaje,Clasificación,,,,,,,,,,,,,,,,,
Que admirable Gustavo Almada nuestro futuro presidente persona sencilla amable todo nuestro apoyo,,,,,,,,,,,,,,,,,,
Deberían sancionar a quien no limpie o tire basura.,,,,,,,,,,,,,,,,,,
Muy de acuerdo con usted Sr. Gustavo....,,,,,,,,,,,,,,,,,,
Esa es la Actitud señor.... Puro pa' delante.,,,,,,,,,,,,,,,,,,
Eso solo pasa cuando quieren el voto ojalá me equivoque,,,,,,,,,,,,,,,,,,
Para la foto mañana se les olvida,,,,,,,,,,,,,,,,,,
Siiiii,,,,,,,,,,,,,,,,,,
No no esta bien exija le a salubridad que les ponga una muy buena multa por cochinos y que están contaminándose ellos mismos hay recolección,,,,,,,,,,,,,,,,,,
Ciudad obregon..llamada la ciudad mas limpia, por un tiempo la indiferencia de parte de ambos lados a sido descuidada.... Pero no por eso se,,,,,,,,,,,,,,,,,
Con todo respeto al sr. Almada, veo muy bien su labor y su interes x ver limpia nuestra ciudad. Claro q es muy importante vivir en lo limpio,,,,,,,,,,,,,,,,,
Que bárbaro increíble nadie había hecho esto estamos.con ud SR Almada,,,,,,,,,,,,,,,,,,
espero que la voluntad que tras no te pase después de las elecciones,,,,,,,,,,,,,,,,,,
La colonia los ángeles hay munchas casas solas llena de basura y calles igual ojala ayuden para recolectar toda esa basura gracias,,,,,,,,,,,,,,,,,,
Y que hay del apoyo del gobierno se nota que no hay nada de parte del Ayuntamiento es el primero que debería estar sumado ahí,,,,,,,,,,,,,,,,,,
Q bien!! Felicidades ojalá q la gente del callejón lo mantenga limpio,,,,,,,,,,,,,,,,,,
Vamos a unirnos todos e incorporarnos a las brigadas de limpieza y empesamos por donde queramos o nos guste se vea mas limpio,,,,,,,,,,,,,,,,,,
Gracias srMe siento orgullosa de usted que dios lo bendiga a usted y toda su familia. Saludos,,,,,,,,,,,,,,,,,,
Quehumilde y sencillo es este candidato a la Presidencia por el.movimiento ciufadano,,,,,,,,,,,,,,,,,,
Si señor Obregon Tiene que ser la ciudad blanca que fue.....fuera PRI!!!!!,,,,,,,,,,,,,,,,,,
Saludos y que bueno que se limpien  los callejones del centro,,,,,,,,,,,,,,,,,,
Y si llegara a obtener los votos necesarios para administrar el municipio también va a seguir agarrando la escoba para limpiar?,,,,,,,,,,,,,,,,,,
No lo que pasa es que le esta asiendo caso asu amigo este el que izo el video que hablaba de las calles y que obregon era una basura poreso ,,,,,,,,,,,,,,,,,,
Mis respetos no paro hasta q terminamos los 2 callejones,,,,,,,,,,,,,,,,,,
Esperemos q no les vuelvan hacer lo mismo q la semana pasada,,,,,,,,,,,,,,,,,,
Que bien ese si es gente humilde saludos,,,,,,,,,,,,,,,,,,
Así los queremos ver cuando pasen las elecciones gane o no gane,,,,,,,,,,,,,,,,,,
Animo que bien felicidades,,,,,,,,,,,,,,,,,,
Debería de darles vergüenza a los de imagen urbana,,,,,,,,,,,,,,,,,,
Muy bien hecho Gustavo animo,,,,,,,,,,,,,,,,,,
Y cuando no ay  campaña queeeee,,,,,,,,,,,,,,,,,,
Saludos.,,,,,,,,,,,,,,,,,,
Porque no lo ases cuando no hay canpaña,,,,,,,,,,,,,,,,,,
Y después de campaña que?,,,,,,,,,,,,,,,,,,
Muy bien excelente,,,,,,,,,,,,,,,,,,
Que vien,,,,,,,,,,,,,,,,,,
Estamos convencidos de que con Gustavo Almada vamos a recuperar el Cajeme que todos queremos!! Puro pa delante!!,,,,,,,,,,,,,,,,,,
Buen dia sr pesidente igual bien almados ya somos mas un dia menos y contando,,,,,,,,,,,,,,,,,,
Y que haras con obregon si ganas?  Recarpetearas la 200 pondras momenclaturas para dirigir la via libre de casetas?,,,,,,,,,,,,,,,,,,
Ánimo y Adelante!! Sr Gustavo Almada...nuestro próximo presidente de Cajeme!! #puro PaDelante!! Con usted Cajeme seguro 100%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
buenos dias senor y mucha suerte ay estaremos apoyandolo,,,,,,,,,,,,,,,,,,
Y para las haciendas cuando,,,,,,,,,,,,,,,,,,
cuando biene a pueblo yaqui senor,,,,,,,,,,,,,,,,,,
Cuando vamos al ejido de nueva casa de Teras,,,,,,,,,,,,,,,,,,
Me dio mucho gustó conocerlo señor almada oy en la tarde🙄,,,,,,,,,,,,,,,,,,
Asi es #puro PaDelante!! Si siiiñooorrr.!!!,,,,,,,,,,,,,,,,,,
Duro y a la cabeza.....,,,,,,,,,,,,,,,,,,
#PuroPa Delante2018,,,,,,,,,,,,,,,,,,
#Almada2020,,,,,,,,,,,,,,,,,,
Ya se hacerca sr. Gustavo Almada la Víctoria para que CAJEME sea un lugar diferente y mejor para la ciudadanía,,,,,,,,,,,,,,,,,,
"Usted ya había ganado las elecciones pasadas!!! Semanas antes estaba muy arriba y de un día a otro gana el ""PRI"",",,,,,,,,,,,,,,,,,,
Macho Parra tu canción favorita es famosa en España!,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Sr. Gustavo yo tengo una nieta, que en diciembre esa era la canción que se llevaban bailando, esta en la mejor popularidad!! Bueno por usted,,,,,,,,,,,,,,,,
Aquí en Arizona también anda a todo lo que da el movimiento Naranja 🍊hasta la Bailan los niños... usted será el Ganador Primero Dios!! Gusta,,,,,,,,,,,,,,,,,,
Jajaja andale que bien ,  hay que hacer  bailar a toda la gente  😉,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Exelente..somos internacionales 👍,,,,,,,,,,,,,,,,,,
Celina Terraza su e el de la bebe hermosa,,,,,,,,,,,,,,,,,,
😂😂 este tio me hace rier con que les llevamos años de ventaja en campaña😂😂😂 Juan Mateo Hernandez,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Analhi Cano este video te decia,,,,,,,,,,,,,,,,,,
Este es el primer vídeo Alexx Almnndra,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Elizabeth Martell,,,,,,,,,,,,,,,,,,
Arón IIzaguirre LLópez,,,,,,,,,,,,,,,,,,
Me acorde cuando te pregunté Carlos Hirashi Valenzuela,,,,,,,,,,,,,,,,,,
Mira amor Juan Carlos Peñuelas Castro 😂😂😂,,,,,,,,,,,,,,,,,,
David Niño Elda Rdz,,,,,,,,,,,,,,,,,,
Ilse Natalia Murillo Pamela Dupinet,,,,,,,,,,,,,,,,,,
Garcia EdGar,,,,,,,,,,,,,,,,,,
Carlos Andrea Gris,,,,,,,,,,,,,,,,,,
Trm Arturo Pablo Campas Diego Osvaldo Ortiz Brayton Herrera,,,,,,,,,,,,,,,,,,
Usted ignores todo lo que digan al fin y al cabo usted es lo que es una buena persona y ha ayudado a mucha gente y Dios se dará el pago por ,,,,,,,,,,,,,,,,,,
Se hubiera aventado una cáscara! 👍🏼,,,,,,,,,,,,,,,,,,
GRACIAS POR COMPRENDER, A LOS JÓVENES.... ELLOS, NECESITAN DE ESPACIOS... DONDE SENTIRSE LIBRES EN EL MUNDO DE LOS DEPORTES... SERIA LO IDEA,,,,,,,,,,,,,,,,
Bonito dia Gustavo Almada desde mi pedacito dr cielo alamos sonora lo saludo puro pa delante.bendiciones,,,,,,,,,,,,,,,,,,
Si Sr. Bien Almados.  Rodee de gente que le guste servir para que salga cajeme del hoyo. Sigo estando con usted.,,,,,,,,,,,,,,,,,,
Adelante usted es el pilar de muchas familias que tenemos la esperanza de un Cajeme mejor,,,,,,,,,,,,,,,,,,
MAS ALMADOS QUE NUNCA, Y SUMÁNDOSE CADA DIA MAS PERSONAS QUE LE VAN AL CAMBIÓ,,,,,,,,,,,,,,,,,
Almados para Cajeme, puras imagenes que motivan Gustavo Almada, Exito y a darle PURO PA'DELANTE!!!,,,,,,,,,,,,,,,,
Almados y decididis a lograr un cambio, en el que el más beneficiado se nuestro querido Cajeme. Yo soy Cajeme.....y tú.,,,,,,,,,,,,,,,,,
QUE DIOS LE BENDIGA, EN TODOS SUS PROYECTOS!!!!!,,,,,,,,,,,,,,,,,
Seguimos almados hasta los huesos animooo,,,,,,,,,,,,,,,,,,
Sr Gustavo puro pa delante personas que le van al cambio,,,,,,,,,,,,,,,,,,
Y las vamos a recuperar! #Almados,,,,,,,,,,,,,,,,,,
A ganar,,,,,,,,,,,,,,,,,,
Puro para adelante,,,,,,,,,,,,,,,,,,
Puro pa'delante!!,,,,,,,,,,,,,,,,,,
"UN HOMBRE QUE DESEA LOGRAR CAMBIAR LAS COSAS..... Y DEJAR HUELLAS, NO CICATRICES !!!!! 
UN HOMBRE QUE DESEA DEJAR UNA BUENA HISTORIA EN CAJE,",,,,,,,,,,,,,,,,,,
Estoy segura que unidos los Cajemenses le daremos un nuevo giro a nuestra comunidad. Cajeme no se rinde....ahora esta más Almada que nunca!!,,,,,,,,,,,,,,,,,,
Somos una sociedad con mucha memoria !!,,,,,,,,,,,,,,,,,,
Deacuerdo con usted!  👍🏼,,,,,,,,,,,,,,,,,,
Yumi Esquer,,,,,,,,,,,,,,,,,,
Exactamente muy de acuerdo Sr.Gustavo Almada,,,,,,,,,,,,,,,,,,
Que bueno q los gremios de profesionistas tienen la apertura de escuchar y conocer a quienes buscan marcar una diferencia en nuestra comunid,,,,,,,,,,,,,,,,,,
Excelente  manos a la obra!!!! Dlb !,,,,,,,,,,,,,,,,,,
Me parece prefecto..puro pa'Delante !!,,,,,,,,,,,,,,,,,,
En Cajeme y el distrito xv estamos bien Almados y enCarrilados, para el cambio.,,,,,,,,,,,,,,,,,
Viejon bnas noches donde puedo recoger mis calcas? Y recuerda puro padelante tope lo q tope seremos arda a quien les arda quemados ya estan ,,,,,,,,,,,,,,,,,,
"Eso es todo.tdo pa adelante
 almada.ganaremos,",,,,,,,,,,,,,,,,,,
Ok mañana nos.vemos nuestro presidente,,,,,,,,,,,,,,,,,,
Ahí nos vemos.,,,,,,,,,,,,,,,,,,
Apártenme la mía porfavor! 👍🏼,,,,,,,,,,,,,,,,,,
Yo quiero..... Movimiento 🍊,,,,,,,,,,,,,,,,,,
Vamos con todo,,,,,,,,,,,,,,,,,,
Fierro,,,,,,,,,,,,,,,,,,
Yo quiero yo quiero,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Cajeme no se rinde!!
#PuroPaDelante,",,,,,,,,,,,,,,,,,,
Ahí estaremos,,,,,,,,,,,,,,,,,,
Ok gracias !!☺☺☺,,,,,,,,,,,,,,,,,,
Yo quieroooooo,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
en la heidi plaza ???,,,,,,,,,,,,,,,,,,
Que  bueno que tiene mucho ánimo! Que dios lo proteja siempre, Sr Almada.,,,,,,,,,,,,,,,,,
Bueno como tiene mucho ánimo quiero  aprovechar para drviirle,,,,,,,,,,,,,,,,,,
Puro pa delante cuando no le debe nada a nadie se puede andar caminando agusto entre la gente aún que seas figura pública en hora buena,,,,,,,,,,,,,,,,,,
Muy ricas se ven las mandarinas! Vamos por el naranja! Na na na na .....nanara..,,,,,,,,,,,,,,,,,,
Me hubiera traido unos mandarinas sr Gustavo Almada saludos vamos por cajeme,,,,,,,,,,,,,,,,,,
Y tambien se le olvido un par de almohadas jajajajajaja saludos,,,,,,,,,,,,,,,,,,
K rica fruta pero m gusta mas su camisa ,quiero una jajaja,,,,,,,,,,,,,,,,,
Uuyyyy y estaba bien baratos los tomatitos...,,,,,,,,,,,,,,,,,,
Gustavo eres mi próximo presidente.,,,,,,,,,,,,,,,,,,
Hay que regresar por los tomatitos...,,,,,,,,,,,,,,,,,,
#puropadelante,,,,,,,,,,,,,,,,,,
Yo tambien estoy bien Almada mi amigo...pero de repente me entra mieditis, ya vez que los frutsis y las tortas son muy tentadoras😠,,,,,,,,,,,,,,,,,
Clase de imagen Sr. Gustavo Almada, puro PA'DELANTE! Vamos por ese Cajeme que queremos!!!,,,,,,,,,,,,,,,,,
MERECE LA OPORTUNIDAD DE SALIR TRIUNFADOR!!!! DIOS LE BENDIGA EN TODOS SUS PROYECTOS!!!!!!,,,,,,,,,,,,,,,,,,
Igual sr futuro presidente  ya falta menos contando los dias buena tarde,,,,,,,,,,,,,,,,,,
Siipp estamos bien almad@s y puro pa'Delante mi amigo Sr. . Gustavo Almada!!,,,,,,,,,,,,,,,,,,
Vamos a sacar ese mal gobierno si nos unimos los cuidadanos,,,,,,,,,,,,,,,,,,
Dlb Sr Gustavo Éxito en todoooo!!!!,,,,,,,,,,,,,,,,,,
Es el dueño. De la ferretería almada,,,,,,,,,,,,,,,,,,
A darle con todo el poder!!! 💪,,,,,,,,,,,,,,,,,,
Quiero una camiseta con ese dibujo ☝🏻,,,,,,,,,,,,,,,,,,
Todo mi apoyo para ud..siga adelante,,,,,,,,,,,,,,,,,,
Vamos padelante,,,,,,,,,,,,,,,,,,
Y tú ya estás almado?......,,,,,,,,,,,,,,,,,,
Cajeme con Alma....de Almada,,,,,,,,,,,,,,,,,,
Puro pa delante con Almada,,,,,,,,,,,,,,,,,,
Puro Almada,,,,,,,,,,,,,,,,,,
No creo k m ganen!!!,,,,,,,,,,,,,,,,,,
UNA PREGUNTA SR ALMADA ESTOY CON USTED PERO VI ALGO QUE ME INQUIETÓ VI EL LOGO DE MOVIMIENTO CIUDADANO JUNTO AL DEL PAN Y PRD CREO.... HAY A,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Eso es toñooo!! Exito,,,,,,,,,,,,,,,,,,
BENDICIONES!!!!!,,,,,,,,,,,,,,,,,,
Tambien!!!,,,,,,,,,,,,,,,,,,
O AAA,,,,,,,,,,,,,,,,,,
Bien almados claro que si,,,,,,,,,,,,,,,,,,
AWEEEBSS!!!,,,,,,,,,,,,,,,,,,
Animo! Todo mi apoyo para usted sr, Gustavo. Lo esperamos en la colonia campanario, ya es necesario una buena rehabilitacion para nuestro mu,,,,,,,,,,,,,,,,
Como me gustaría verlo de vuelta, en la colonias que visita... si es que gana la alcaldía, así como se codea con la gente pidiendo el voto, ,,,,,,,,,,,,,,,
Animo y esperemos que no se dejen de esa gente de apellidos que solo tienen undido a obregon!! Vamos con fe y seguro ahora si  ganara el mov,,,,,,,,,,,,,,,,,,
Animo y esperemos que todo sea favorable para usted Sr Gustavo,y se marque la diferencia es justo y necesario!!,,,,,,,,,,,,,,,,,
Lo espero pronto en el nuevo amanecer su tiene su umilde casa para estar bien almados,,,,,,,,,,,,,,,,,,
Todo mi apoyo para Gustavo Almada y el buen Uriel, estoy seguro que representan un cambio favorable para cajeme!,,,,,,,,,,,,,,,,,
BENDICIONES!!!!!,,,,,,,,,,,,,,,,,,
La mejor fórmula.,,,,,,,,,,,,,,,,,,
Pa delante,,,,,,,,,,,,,,,,,,
Muchas Felicidades a tu Papá. Sin duda, un ejemplo a seguir para ti y para muchas personas. No solo en el aspecto empresarial, también en el,,,,,,,,,,,,,,,,
"Pues por lo visto.
Todo es de buena madera.
👍.
Buen ejemo a seguir.,",,,,,,,,,,,,,,,,,,
Felicidades Sr. Almada,,,,,,,,,,,,,,,,,,
Excelente!,,,,,,,,,,,,,,,,,,
BENDICIONES!!!!!,,,,,,,,,,,,,,,,,,
👍👌,,,,,,,,,,,,,,,,,,
Sr. Almada, yo pienso que su optimismo es fundamental en ésta tarea que lleva a cabo. No baje la guardia,  hasta el último momento crea en é,,,,,,,,,,,,,,,,
Buenos dias Sr Gustavo. Almada muy bonita imagen en horabuena saludos desde ak mi alamos kerido bendiciones puro pa delante k cajeme lo nece,,,,,,,,,,,,,,,,,,
Adelante que Obregón y todo sonora te nesecita para salir adelante con todo,,,,,,,,,,,,,,,,,,
Cuente con el apoyo de mi familia y conocidos convencidos y almados,,,,,,,,,,,,,,,,,,
"WOOOOOOOOW!!!!!!!! 
QUÉ BUENA IMAGEN,  SR. ALMADA!!!!!!!!!!!,",,,,,,,,,,,,,,,,,,
También quiero una camiseta de estas,,,,,,,,,,,,,,,,,,
Apoco ahí otro.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Mucha suerte para el señor Gustavo Almada,,,,,,,,,,,,,,,,,,
Mi estimado Gustavo recibe un fuerte abrazo y hazlo extensivo a tú sr padre y la demás familia, que su ejemplo sirva a las futuras generacio,,,,,,,,,,,,,,,,,
Muchas felicidades a tu Papá por su trayectoria empresarial ! Un abrazo y gente de la vieja guardia, seria, honesta, con  valores! Un abrazo,,,,,,,,,,,,,,,
Muchas Felicidades!! Don Joaquín Dios les Bendiga siempre Un abrazo  y un cordial saludo a toda su familia!!Y puro pa'Delante !!,,,,,,,,,,,,,,,,,,
Muchas felicidades dios lo bendiga siempre y cordial saludo para toda su familia,,,,,,,,,,,,,,,,,,
Y  ees poco  merece mucho mas  felicidasdes biejones a  echarle ganas dios se los concerbe toda l  a vida  dios los bga puro pa delante suer,,,,,,,,,,,,,,,,,,
Muchas felicidades a tu papá y a toda la familia Almada. Son un ejemplo de trabajo y éxito!!,,,,,,,,,,,,,,,,,,
Muchas Felicidades  Pedro y Gustavo a toda la  Fam. Almada y en especial a  tu Papa .Saludos,,,,,,,,,,,,,,,,,,
Felicidades, igual de trabajadores y emprendedores. Un abrazo,,,,,,,,,,,,,,,,,
Muchas felicidades a tu papá Gustavo una felicitación de parte de mi papá también,,,,,,,,,,,,,,,,,,
"Felicidadessss por ser Persobas Exitosas sin Nesecidad de Corona.

EXITOOO,",,,,,,,,,,,,,,,,,,
Muchas felicidades a su papa, de tal palo tal astilla muy bien dlb,,,,,,,,,,,,,,,,,
Muchas felicidades a tu papa, un muy merecido reconocimiento , apapachalo mucho gustavo,,,,,,,,,,,,,,,,
Bendiciones para esta lindura de Sr. felicidades don Gustavo....,,,,,,,,,,,,,,,,,,
"Gustavo, felicítame a tu papá. Le mando un abrazo.
Igual un saludo a mi amigo Pedro.,",,,,,,,,,,,,,,,,,,
Muchas felicidades ,para el ingeniero.Almada mi compañero de partido y miembros ambos del comite municipal,el como.secretario.general yo com,,,,,,,,,,,,,,,,
Felicidades Gustavo por este reconocimiento para el pilar de la Familia...Enhorabuena!!!,,,,,,,,,,,,,,,,,,
Que hermoosooo... muchas felicidades!! Abrazo a todoos!!,,,,,,,,,,,,,,,,,,
Muchas felicidades a Don Joaquín y que orgullo para su familia un abrazo,,,,,,,,,,,,,,,,,,
Muchas felicidades a Don Joaquin por su trayectoria y a toda la familia.,,,,,,,,,,,,,,,,,,
¡Muchas Felicidades a tu papá Gustavo!  Bien merecido!  un Abrazo!,,,,,,,,,,,,,,,,,,
Muchisimas felicisades dios lo bendiga con tan grata trayectoria ojala nos diera la dicha de conocerles un abrazo..,,,,,,,,,,,,,,,,,,
Honor a quien honor merese,felicidades a su Sr padre dlo bendiga y lo proteja por siempre....saludos,,,,,,,,,,,,,,,,,
Gustavo muchas felicidades a tu papa y te mando  un fuerte abrazo .,,,,,,,,,,,,,,,,,,
Muchas felicidades a Don Joaquín Almada, un ejemplo a seguir por su trayectoria,,,,,,,,,,,,,,,,,
Muchas felicidades a tu papá, muy merecido el reconocimiento, un abrazo.,,,,,,,,,,,,,,,,
Che gente cochina! Y lo que mas risa da es que la cochinada del tino se quiere reelegir!!!!  Que porqueria de persona es el tino que tiene a,,,,,,,,,,,,,,,,,,
"Saben que!!  les están haciendo daño, les kieren arruinar su proyecto...  pero esa gente que están haciendo eso son unos MARRANOS""!! Es la p,",,,,,,,,,,,,,,,,,,
Pongan un contedenedor en esa area y tal vez no se haga tanto cochinero, es imposible por los indigentes que hacen el cochinero pero si sera,,,,,,,,,,,,,,,,,
Q mala onda cómo ay jente cochina tengan un poco de consiensia es un bien tanto para nosotros mismos como para nuestra cd y los felicito por,,,,,,,,,,,,,,,,,,
La gente es muy puerca y aunque limpien en una hora vuelven a dejar todo igual hay que entender que la chamba no sólo es de los que gobierna,,,,,,,,,,,,,,,,,,
Obregon en el tital abandono  basura  baches  pintas en paredes  ya no es la ciudad de antes  Urgeeeee un cambio  Gustavo almada  . Saludos ,,,,,,,,,,,,,,,,,,
Foco de infección los callejones nomás son usados para tirar basura, deberían de vender esos espacios y se acaba el problema,,,,,,,,,,,,,,,,,
Que lastima 😢 si bien es cierto hay muchas PERSONAS COCHINAS tambien habria que ver las personas Indigentes que buscan en la basura y hacen ,,,,,,,,,,,,,,,,,,
Son unos viejillos homeless, no creo que tengan acceso a internet ni vean el vídeo,,,,,,,,,,,,,,,,,
K terrible creo esto fue a proposito no puede ser lo siento x los buenos ciudadanos,,,,,,,,,,,,,,,,,,
Ayyy noooo! No tienen remedio gente!!! Lo están haciendo adrede o que??? Che coraje deverás 😡😡😡,,,,,,,,,,,,,,,,,,
Hasta parece que lo hacen de adrede.. está qente sin cultura mucho menos educación..,,,,,,,,,,,,,,,,,,
Que impotencia... coraje y tristeza a la vez!!!  Obregón y sus calles dan asco. 💔,,,,,,,,,,,,,,,,,,
No creo q sean los vecinos🧐... mas bien tratan de detener lo bueno que están haciendo!! Sigan adelante que son más los buenos que las lacras,,,,,,,,,,,,,,,,,,
Nunca van a acabar porque la gente es bien cochina y no le gusta superarse y mucho menos hacer algo por Obregón,,,,,,,,,,,,,,,,,,
Que tristeza que haya personas que no quieran mantener nuestra cd. Limpia... Vamos con todo.... Puropadelante.,,,,,,,,,,,,,,,,,,
Desgraciadamente esa gente piensa que el gobierno le debe de hacer todo, si así tienen su calle como tendrán su casa?,,,,,,,,,,,,,,,,,
Gente puerca. Y en todos lados es la misma situación.felicidades x su labor.,,,,,,,,,,,,,,,,,,
Claramente es político, pero no se dejen! puro pa adelante!! Vamos Almadaaaaa queremos cambios en Cajeme!!!,,,,,,,,,,,,,,,,,
La conciencia hacia los ciudadanos es importante.... Pero es involucrar a los vecinos, que sepan que es por ellos y para ellos.,,,,,,,,,,,,,,,,,
No importa mi jente vamos a demostrarle al gobierno que está ahora que si se. Puede vamos a ganar y que estamos listos para trabajar por nue,,,,,,,,,,,,,,,,,,
De seguro fue a propósito el ensuciar de nuevo ese callejón, Piénsalo y sabrás que así fue, el mismo gobierno actual lo hizo. Esta muy obvio,,,,,,,,,,,,,,,,
No se trata de concientizar!!! Se trata de aplicar la ley y multar a la gente,,,,,,,,,,,,,,,,,,
La mayoría de esa gente tiene hambre y todo por la falta de trabajo. Y ese es su trabajo viven de lo que les dejan en la basura antes de que,,,,,,,,,,,,,,,,,,
Yo fui a trabajar este domingo del q se habla. Esta situación me enoja y me indigna pero para nada me da para abajo. Al contrario, nada ni n,,,,,,,,,,,,,,,,,
Muchas gracias,,,,,,,,,,,,,,,,,,
Que mala onda yo no fui al Mercado hoy , yo tambien lo hubiera saludado Gustavo Almada Bórquez   y me hubiera dado mucho gusto verlo 😊,,,,,,,,,,,,,,,,,
Es un gran ser humano Sr Almada su sencillez lo caracteriza tiene mi apoyo,,,,,,,,,,,,,,,,,,
BENDICIONEEEEEES SR. ALMADA.,,,,,,,,,,,,,,,,,,
Se VA ser claro que si,,,,,,,,,,,,,,,,,,
"Como guste lo ha visto.
Los Locatarios de Mercajeme, sin personitas muy respetables y trabajadoras.
Me dio gusto ver algunas caritas aunque ,",,,,,,,,,,,,,,,,,,
Mi apoyo es para Gustavo Almada, por qué anda bien almado! 👍🏼✅,,,,,,,,,,,,,,,,,
Ya es hora de hacer historia,  3 años no serán suficientes, pero si desde el primer día se trabaja en lo principal, en lo prioritario, que s,,,,,,,,,,,,,,
Gustavo hay que hacer una campaña o recordarles que tenemos hasta el dia 31 de Marzo para tener en regla nuestra credencial de elector y asi,,,,,,,,,,,,,,,,,,
Gustavo la base de un verdadero cambio es que los puestos dentro de la admin los ocupen personas c la experiencia (no política) pero si en e,,,,,,,,,,,,,,,,,,
Asi sera amigo, sera historia, sacaremos a los gobernantes que tienen a Cajeme rn la ruina! puro PA'DELANTE,,,,,,,,,,,,,,,,
Así es don Gustavo Puro pa  delante!! Y que Diosito lo ayude en todo....,,,,,,,,,,,,,,,,,,
Muy bonito mensaje Gustavo Almada puro pa delante,,,,,,,,,,,,,,,,,,
Me gusta el logo Gustavo #PuroPaDelante,,,,,,,,,,,,,,,,,,
Yo contigo puro movimiento naranja,,,,,,,,,,,,,,,,,,
Siempre con usted.,,,,,,,,,,,,,,,,,,
BENDICIONES!!!!,,,,,,,,,,,,,,,,,,
Fieero mi  conpA dtbga,,,,,,,,,,,,,,,,,,
Claro que se VA se fuera rojos,,,,,,,,,,,,,,,,,,
wuuau, que PADRISIMA esta imagen.,,,,,,,,,,,,,,,,,
Sr, cuando usted sea presidente a cuánto bajara el dólar,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Que bonito Don Gustavo !! Aqui en Villa Bonita hay un terreno grande por la Coahuila al fondo rumbo a Esperanza es de la costructora Saga . ,,,,,,,,,,,,,,,,,,
"Que bonita se ve Gustavo!!  Y se mira bien contenta en La foto haciendo ejercicio.   
Te admiro por ese hábito de hacer ejercicio desde temp,",,,,,,,,,,,,,,,,,,
Que bien Sr. Gustavo Almada Bórquez  ojala y todos pudieramos andar seguros para poder salir a caninar temprano por nuestras colonias  😊,,,,,,,,,,,,,,,,,,
Que bonito que Dios lo bendiga, muy bonita foto, que tenga una bella semana don Gustavo!,,,,,,,,,,,,,,,,
Así queremos los ciudadanos salir a caminar si  temor ... #porunCAJEMEsinviolencia.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Bonita Miyaya  su fiel compañera  Gustavo saludos,,,,,,,,,,,,,,,,,,
Saludos,,,,,,,,,,,,,,,,,,
Que tenga un excelente día sr. Gustavo!!,,,,,,,,,,,,,,,,,,
Buenos dias😘,,,,,,,,,,,,,,,,,,
"BUENOS DÍAS!!!!! 
GRANDES BENDICIONES SR. ALMADA ALMADA!!!!!!! 
QUÉ HOY, COMO TODOS, LOS DÍAS VENIDEROS... TENGA UN EXCELENTE INICIO DE SEMA,",,,,,,,,,,,,,,,,,,
Buenas tardes don Gustavo, si esta bella su mascota,,,,,,,,,,,,,,,,,
Bien ejercicio !!,,,,,,,,,,,,,,,,,,
Saludos Gustavo y saludos a la Yaya, es una bella!!,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
💪🏻💪🏻💪🏻💪🏻,,,,,,,,,,,,,,,,,,
Qué es lo que ofrece para Obregón tiene mucha publicidad y no por sus propuestas,,,,,,,,,,,,,,,,,,
Espero me conteste esta pregunta, y si no cambia nada que nos va a decir?. Va a bajar el precio de la arina, de el frijol, de la carne, eso ,,,,,,,,,,,,,,
Ahorita si contesta los comentarios y el contacto con la gente y todo ese rollo,, la pregunta es porque cuando ganan se hacen intocables?? M,,,,,,,,,,,,,,,,
"Si al llegar a la presidencia UD pone en cada dependencia a personas idóneas por sus capacidades y no a ""cuates"" su gobierno va a ser exitos,",,,,,,,,,,,,,,,,,,
El que dé a conocer un programa de trabajo específico sobre como lograr un cajeme limpio y con calles transitables, tranquilidad en cuanto a,,,,,,,,,,,,,,,,,
Puro padelante Gustavo fui a caza de Jorge y te oí hablar en pueblo yaqui y si eres confiable mi voto sera para usted,,,,,,,,,,,,,,,,,,
Coincidimos de nuevo y a echarle todas las ganas.... Cajeme no se rinde.... Vamos con todo... Ahora sí con todo el favor de Dios y de los si,,,,,,,,,,,,,,,,,,
Es una verdadera lástima que la propia gente.nuestros con_ciudadanos,que convivimos en éste bonito y próspero cajeme.no tengan la más mínima,,,,,,,,,,,,,,,,,
Pero por supuestoooo puro padelante y a levantar Cajeme!!! Eso es todo !!! Con la Bendicion de Dios y el apoyo de todos los que queremos un ,,,,,,,,,,,,,,,,,,
Y como le dije a uno t veré cuando estés en palacio peeeeeroooo hastai c quedó ahora te lo digo a ti Gustavo después de las elecciones ay no,,,,,,,,,,,,,,,,,,
